Title,Company,Content_0,Content_1,Content_2,Link,Location,label,platform
머신러닝 개발자 - DL/ML 기반 데이터 분석 (신입),띵스파이어,"주요업무
• DL/ML 기반 시계열 데이터 실시간 이상감지 및 예측 기술 개발
• DL/ML 기반 비정형 데이터 분석 기술 개발
• DL/ML 기반 모델링 및 예측 기술 개발","자격요건
• DL/ML 분석 및 모델 개발 능력
• Python, Tensorflow, Keras, Pytorch, 과학계산용 라이브러리 사용 능력
• 경력 : 신입","우대사항
• 제조, 물류 등 산업분야 AI 기술 적용 경험
• 통계/분석 관련 지식
• 시계열 분석, 이상 탐지, 신호 처리 기반 예측 모델링에 대한 지식
• 특성인자 엔지니어링, 데이터 정규화, 모델 최적화, 하이퍼 파라미터 튜닝 분야의 경험
• Java 프로그램 사용 능력
• 다양한 심층신경망 개발 경험
• DL/ML 어플리케이션 개발 경험
• 컴퓨터 사이언스 및 빅데이터 분석관련 학과 석사, 박사 우대",https://www.wanted.co.kr/wd/207288,서울 용산구,데이터 분석가,wanted
[500억↑투자] Data Scientist,비버웍스,"주요업무
ㆍDeep Learning Model 설계/개발
ㆍAWS 플렛폼 위에서 데이터 마이닝, 분석 모델링
ㆍStructured & Unstructured Data 기반 머신러닝, 자연어 처리
ㆍDATA 분석을 통한 비즈니스 이슈 문제 정의 및 해결 방법 도출","자격요건
ㆍ관련 분야 3년 이하의 경력을 보유하신 분
ㆍPython, OpenCV, Pytorch, Tensorflow 사용이 가능하신 분
ㆍSQL 이용 고객 데이터 분석 경험이 있으신 분
ㆍ정규직 (수습기간 3개월)","우대사항
ㆍSQL을 활용한 데이터베이스 관리 경험이 있으신 분
ㆍ인공지능/컴퓨터공학/산업공학/통계학 등의 분야 학위를 소지하신 분",https://www.wanted.co.kr/wd/207308,서울 강남구,데이터 분석가,wanted
머신러닝 개발자 - DL/ML 기반 데이터 분석 (3년이상),띵스파이어,"주요업무
• DL/ML 기반 시계열 데이터 실시간 이상감지 및 예측 기술 개발
• DL/ML 기반 비정형 데이터 분석 기술 개발
• DL/ML 기반 모델링 및 예측 기술 개발","자격요건
• DL/ML 분석 및 모델 개발 능력
• Python, Tensorflow, Keras, Pytorch, 과학계산용 라이브러리 사용 능력
• 경력 : 3년 이상","우대사항
• 제조, 물류 등 산업분야 AI 기술 적용 경험
• 통계/분석 관련 지식
• 시계열 분석, 이상 탐지, 신호 처리 기반 예측 모델링에 대한 지식
• 특성인자 엔지니어링, 데이터 정규화, 모델 최적화, 하이퍼 파라미터 튜닝 분야의 경험
• Java 프로그램 사용 능력
• 다양한 심층신경망 개발 경험
• DL/ML 어플리케이션 개발 경험
• 컴퓨터 사이언스 및 빅데이터 분석관련 학과 석사, 박사 우대",https://www.wanted.co.kr/wd/207290,서울 용산구,데이터 분석가,wanted
Data Analyst,자란다,"주요업무
• 서비스 개선과 비즈니스 목표 달성을 위한 실험 설계 및 결과 해석
• KPI 설정 및 모니터링 위한 대시보드 제작 및 운영
• 비즈니스 요구사항에 맞는 Ad-hoc 분석 요청 협의 및  진행
• 기획, 개발, 마케팅 등 여러 직무가 함께하는 스쿼드에서 데이터 기반 아이디어 검증 및 실행","자격요건
• SQL 쿼리 작성에 능숙하며, 1가지 이상의 데이터 분석 언어를 사용하실 수 있는 분
• 데이터 시각화(Tableau, Redash, Looker Studio 등) 도구에 대한 경험이 있으신 분
• 통계학 및 데이터 분석에 관련된 전공 학위 혹은 그에 준하는 지식/경험을 보유하신 분
• 사업개발, 기획, 마케팅, 개발 등 타 직무 멤버들과 원활한 커뮤니케이션","우대사항
• 서비스 핵심 지표를 설정하고, 다양한 가설을 세우고 실험하여 개선해 본 경험이 있으신 분
• 스타트업(O2O 서비스,  매칭 플랫폼,  커머스 등)에서의 짧은 개발 주기와 피드백 경험이 있으신 분
• 사내 구성원들의 데이터 리터러시 함양에 영향을 주었던 경험이 있으신 분
• GCP(Google Cloud Platform) 등 클라우드 기반 업무 경험
• Data Analyst, Business Analyst 등 직무 경험 2년 이상",https://www.wanted.co.kr/wd/207126,서울 강남구,데이터 분석가,wanted
골프플랫폼개발그룹 골프 예약 데이터 분석가 팀장,카카오VX,"주요업무
• 골프 예약 데이터를 수집, 가공, 분석하여 의미 있는 인사이트를 도출하는 업무를 담당합니다.
• 골프 예약 플랫폼을 개선하기 위한 데이터 기반 전략 개발 업무를 담당합니다.
• 데이터를 시각화하여 결과를 팀에 전달하는 업무를 담당합니다.","자격요건
• SQL 중급 이상이신 분을 찾습니다.
• 데이터를 통한 인사이트를 도출하고 개선점을 적용해 본 경험을 보유하신 분을 찾습니다.
• 서비스 개선 또는 비즈니스 전략 방향 / 사업 계획 수립 업무 경험이 있으신 분을 찾습니다.
• 커뮤니케이션 역량을 갖추신 분을 찾습니다.","우대사항
• 배우고자 하는 열정과 커뮤니케이션 역량을 갖추신 분
• 이커머스등 빅데이터 분석 프로젝트 수행 경험을 보유하신 분
• 골프 예약 시스템 및 업계 동향에 대한 이해를 포함한 골프에 대한 도메인 지식을 갖추신 분",https://www.wanted.co.kr/wd/206417,경기 성남시,데이터 분석가,wanted
Senior Data Scientist - Ads Performance,몰로코,"주요업무
• Data Analysis and research: analyzing a large dataset with queries and scripts, extracting valuable signals out of noise, and producing actionable insights into how we could complete and improve Moloco’s complex ML and bidding system.
• Simulation and Modeling: validating and quantifying the efficiency and performance gain from hypotheses through rigorous simulation and modeling.
• Experimentation and Causal Inference: developing a robust experiment design and metric framework, and providing reliable and unbiased insights for product and business decision making.","자격요건
• Bachelor’s degree in a quantitative discipline (e.g., Statistics, Operations Research, Bioinformatics, Economics, Computational Biology, Computer Science, Mathematics, Physics, Electrical Engineering, Industrial Engineering).
• 3+ years of work experience in data science-related fields or an advanced degree such as a Master’s or Ph.D. in a quantitative discipline with 2+ years of experience
• Distinctive problem-solving skills, good at articulating product questions, pulling data from large datasets, and using statistics to arrive at a recommendation.
• Excellent verbal and written communication skills, with the ability to present information and analyze results effectively.
• Ability to build positive relationships within DSA and with our stakeholders and work effectively with cross-functional partners in a global company.
• Statistics: must have strong knowledge and experience in experimental design, hypothesis testing, and various statistical analysis techniques such as regression or linear models.
• Machine Learning: must have a deep understanding of ML algorithms (i.e., deep learning, random forest, gradient boosted trees, k-means clustering, etc.) and their development, validation, and evaluation.
• Programming: experience with Python, R, or other scripting languages, and database language (e.g., SQL) or data manipulation (e.g., Pandas, Dplyr) are required.","우대사항
• Advanced degree such as Master’s or PhD in a quantitative discipline.
• Ability to manage multiple projects at the same time while paying attention to detail and translating analysis results into business recommendations. 
• Proven ability to own projects end-to-end, even when you have to get creative: you do more than complete delegated tasks.
• Demonstrated leadership and self-direction. Willingness to both teach others and learn new techniques.",https://www.wanted.co.kr/wd/191088,서울 강남구,데이터 분석가,wanted
Data 분석 컨설턴트,콘센트릭스서비스코리아CATALYST,"주요업무
• 시의성을 고려한 분석 토픽 발굴
• 분석 토픽에 맞춰 분석 스토리라인 구성
• Tool(Excel, Python, R 등) 활용, 데이터 스크리닝을 기반으로 분석 가설 수립
• 탐색적 데이터 분석(Exploratory Data Analysis) 수행 및 Insight 발굴
• 발굴된 Insight를 기반으로 가설을 검증하고 최종 분석 결론 도출
• 분석 결과의 보고서화
•  분석 과정에서의 고객사 Communication","자격요건
• Consultancy를 바탕으로 한 문제해결 및 Communication 역량
• 데이터의 특성과 흐름을 식별할 수 있는 데이터 문해 역량
• EDA를 위한 Tool 사용 역량(Excel 포함 1개 이상)
• PPT를 활용한 보고서 작성 역량","우대사항
• 고급 통계적 분석 기법을 활용한 분석 역량(우대사항)
• SQL 등을 활용한 데이터 추출 역량
• 프로젝트 수행을 위한 외국어 구사 능력",https://www.wanted.co.kr/wd/187104,서울 강남구,데이터 분석가,wanted
Data Scientist,피에트(FIET),"주요업무
FIET Data Scientist 는 FIET의 다양한 서비스에 적용되는 ML기반의 예측 모델, 알고리듬을 개발하고, Business Impact 확대를 위한 Data-driven 의사 결정을 지원합니다.


업무내용
• ML/DL 기반의 예측 모델 개발/최적화
• 추천 알고리듬 및 기타 유저에게 유용한 모델 개발/개선 
• 고객 경험 개선을 위한 Data-driven 실험 설계/실행 
• 앱/웹 서비스 사용 데이터 분석을 통한 Insight 도출/비즈니스 의사 결정 지원","자격요건
• Data Science 관련 전공자 (통계, 수학, 컴퓨터공학, 산업공학 등) 또는 그에 해당하는 지식을 갖추신 분
• ML/DL 모델링 업무 경력 8년 이상이신 분
• 추천 알고리즘, 자연어 처리(NLP), Clustering, 예측 모델 수립/최적화 경험이 있는 분 
• 여러 ML/DL 기법들에 대한 이해도가 높으신 분
• SQL, Python 등 통계/분석 프로그램을 능숙하게 다루시는 분
• 데이터 분석/모델링 결과 및 비즈니스 대안을 非전공자 관점에서 쉽고 명확하게 전달 가능하신 분","우대사항
• 데이터 분석/모델링을 실제 서비스에 적용/개선한 경험이 있는 분
• 스스로 문제를 정의하고 가설적/구조적 사고 기반의 문제 해결 역량이 뛰어나신 분 
• 기획력이 뛰어나신 분
• 건강 관리 분야에 관심이 많으신 분",https://www.wanted.co.kr/wd/205557,서울 강남구,데이터 분석가,wanted
데이터 분석가,브릭,"주요업무
• 당사 보유한 제조데이터 분석 솔루션 (제조설비 및 측정데이터 분석을 통한 이상감지, 가상계측, 품질예측, 공정최적화조건 탐색 등)에 탑재될 모델 및 알고리즘 설계, 개발 및 개선작업
• 새로운 고객 데이터를 분석하여 해당 고객의 요구조건에 맞는 데이터 분석 결과를 도출하기 위한 컨설팅 및 데이터 분석, 모델링 작업 수행 
• Machine Learning / Deep Learning을 사용한 신규 모델 개발 관련 연구개발 작업 
• 국책프로젝트 제안 및 관련 업무 수행 
• 데이터 분석을 활용하는 솔루션 및 제품의 기획, 제안","자격요건
• 시계열 데이터 분석에 대한 깊은 이해를 가진 분 (통계적 지식, EDA, 다양한 방법의 모델링 및 검증)
• 새로운 데이터 및 환경을 빠르게 이해하고 분석할 수 있는 역량과 의지를 가진 분
• Python, R 등의 통계 분석 언어를 능숙하게 다루는 능력을 가진 분
• Machine learning pipeline, MLOps에 대한 이해와 필요성에 공감하는 분
• 팀원들과 수평적인 관계로 원활히 소통하며 업무를 수행하는 데 대한 필요성에 공감하고, 잘 수행할 수 있는 분
• 데이터 분석과 관련한 국책과제 제안, 수행이 가능한 분 
• 고객사 방문 작업을 위한 지방 출장 및 파견근무가 가능한 분","우대사항
• 시계열 데이터 분석 관련 프로젝트 수행 경험 
• 시계열 데이터 분석 경진대회 수상 경력
• 데이터분석 관련 논문 실적
• 관련 분야 석,박사학위 보유 
• 기존 분석 알고리즘의 조합 및 적용을 넘어서, 새로운 개념의 분석 모델을 설계하고 검증, 적용한 경험
• 차별화된 방법으로 멋진 발표자료를 만들고 잘 설명할 수 있는 능력 
• 다양한 최신 기술에 대한 지식 및 활용경험
• 영문으로 된 논문을 읽고 이해하는 데 어려움이 없는 수준의 영어 구사 능력",https://www.wanted.co.kr/wd/206929,경기 성남시,데이터 분석가,wanted
Data Analyst,비바리퍼블리카(토스),"주요업무
[합류하면 함께할 업무예요]

• 토스의 서비스/제품을 이용하는 모바일 유저들의 행태 Data를 정제/가공/분석하고, 리포트와 시각화를 제공해요.
• 목표를 달성하기 위한 지표와 가설을 설정하고, 이를 검증할 수 있는 다양한 A/B 테스트를 설계해 진행해요.
• 사일로에서 Data-driven 의사결정을 할 수 있도록 정량적 수치와 분석 결과를 제공해요.
• Product, Marketing, Corporate Development, Finance 등 다양한 팀과의 협업을 통해 비즈니스 문제를 정의하고, 이를 해결하기 위한 가설을 수립해요.
• 기본적으로는 소속 사일로의 서비스/제품 분석을 하고 있지만, 더 나아가 전사 차원의 관점에서 제품의 효율성, 비용 및 비즈니스 프로세스 등을 평가하여 제품 간 Cross Activation 영향도, 개선/성장 방• 향성, 프로젝트 우선순위 등에 대한 솔루션을 제공해요.
• Product Owner와 함께 서비스 및 전사의 방향을 결정하는 중요한 전략가로서의 역할도 수행할 수 있어요.","자격요건
[이런 분과 함께하고 싶어요]

• SQL을 사용해 직접 데이터를 추출하고 정제해보신 분이 필요해요.
• 모바일 서비스 데이터 분석 방법(Customer Lifetime Value, Retention, Cohort Analysis 등)에 대한 높은 수준의 이해도가 필요해요.
• 지표의 성장을 위해 다양한 가설을 설정해보고 실험하여 직접 서비스를 개선해보신 분이 필요해요.
• 가설을 세워 A/B 테스트를 설계하고 진행해보신 분이 필요해요.
• 데이터 시각화(Tableau 등)에 대한 경험이 있으면 좋아요.","우대사항
[이력서는 이렇게 작성하시는 걸 추천해요]

• 그동안 해오신 업무 중 임팩트 있었던 프로젝트를 구체적으로 적어주세요.
• 진행했던 프로젝트의 문제정의-가설설정-실험설계 및 검증-결과의 과정이 드러나면 좋아요.
• 데이터 분석으로 서비스 이용 유저에 대해 깊이 이해하고 이를 통해 액션을 제시하신 경험이 있다면 적어주세요.
• 모바일 서비스 데이터 분석 방법(LTV, AARRR, Cohort, Funnel 등)을 깊게 활용해봤는지 확인하고 있어요.
• 목표를 달성했다면 이탈률, 전환율, 매출액 등 지표의 개선을 수치로 나타내주면 좋아요. (외부 공개가 민감한 사항일 경우, 해당 부분은 제외하여 주세요.)",https://www.wanted.co.kr/wd/206571,서울 강남구,데이터 분석가,wanted
